"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         317,      -3.681610958,      -3.105142297,      -3.026294834,      -7.813677194
          0,           0,         318,      -3.692361154,      -3.099243271,      -3.028350945,       -7.81249295
          0,           0,         319,      -3.702864999,      -3.093284543,      -3.030599941,      -7.810895041
          0,           0,         320,      -3.713054736,      -3.087327022,      -3.033013629,      -7.808848741
          0,           0,         321,      -3.722845217,      -3.081465403,      -3.035585445,      -7.806342245
          0,           0,         322,      -3.732191429,      -3.075763135,      -3.038270752,      -7.803403328
          0,           0,         323,      -3.741032111,      -3.070153756,      -3.041175366,      -7.800024363
          0,           0,         324,      -3.749242725,      -3.064726251,      -3.044288217,      -7.796196017
          0,           0,         325,      -3.756917898,      -3.059546816,      -3.047450615,      -7.791923391
          0,           0,         326,      -3.764040977,       -3.05474563,      -3.050681541,      -7.787323593
          0,           0,         327,      -3.770427893,      -3.050243645,      -3.053963046,      -7.782290402
          0,           0,         328,      -3.776067763,      -3.046096969,      -3.057319917,      -7.776931978
